Tip,chinese_name,episode,movie_name,ranking,score,score_num,summary
"
13话 / 2010年7月3日 / 金澤洪充 / 氏家ト全（講談社 週刊少年マガジン連載） / 古田誠 ",妄想学生会,13,生徒会役員共,767,7.5,(5076人评分),故事的舞台——私立樱才学园，原本是传统的女子高中，但因少子化问题影响，不得不改制为男女合校。作为改制后第一年入学的28名男性新生之一的津田隆利，偶然之下被拉入了学校的学生会。在外人看来，学生会是美女如云的天堂，但是津田身边的三位学生会女干部性格都非常独特，津田开始了他每天学生会的吐槽生活……
"
12话 / 2014年3月20日 / 李智勇 ",功夫兔与菜包狗,12,功夫兔与菜包狗 第一季,768,7.6,(167人评分),"故事发生在一个年轻人家中，他画出了一只聪明却叛逆的兔子，和一只忠诚却自负的狗,
从此，抓住兔子就成了主人和狗的精神理想和肉体梦魇，他们屡战屡败，屡败屡战,
穿越到书中追兔子，钻进大脑打怪兽，与外星人联手，操纵巨人去战斗,
一场场华丽的功夫比拼，一次次妙趣横生的创意冒险就此展开！,
猪一样的队友，神一样的对手，让你不笑都不行！"
"
13话 / 2016年4月2日 / 「ニンジャスレイヤー」（発行元：株式会社KADOKAWA） / 稲戸せれれ、信じろ ",忍者杀手 特别编辑版,13,ニンジャスレイヤー フロムアニメイシヨン （スペシャル・エディシヨン）,769,7.5,(446人评分),根据布拉德利、菲利普合著（由“翻译”本兌有和杉ライカ二人声称）的SF小说改编的动画作品，网络动画版于2015年4月开始在NICONICO动画等网站开播。话数进行过再编辑的TV版将于2016年4月播放。
"
1话 / 2017年10月28日 / 木上益治 ",巴加的工作室,1,バジャのスタジオ,770,7.5,(519人评分),故事的舞台是制作充满梦想的动画的工作室“KOHATA动画工作室”，巴加在这间工作室里，被制作动画的人们养育成长。工作室外有浮在池子里的鸭子朋友们，巴加的每一天都幸福快乐。在一个人们都离开了工作室的夜晚，巴加不经意间望向屋外，看到了鸭子们被猫咪袭击，巴加能否拯救到朋友们呢？夜晚中不可思议的冒险现在开始！
"
1话 / 2013年7月20日 ",起风了,1,風立ちぬ,771,7.5,(1812人评分),剧情为混合改编了零式舰上战斗机设计者堀越二郎的故事、以及小说家堀辰雄作品《风吹了》的内容，并预计2013年夏季上映。另外，男主角堀越二郎的配音，则由《新世纪福音战士》的导演庵野秀明出任。
"
1话 / 2018年10月27日 ",HUGtto！光之美少女♡两人是光之美少女 All Stars Memories,1,映画 HUGっと！プリキュア♡ふたりはプリキュア オールスターズメモリーズ,772,7.7,(105人评分),15周年記念映画となる本作では、この初代『ふたりはプリキュア』と最新作『ＨＵＧっと！プリキュア』が最強タッグを結成。15年前に女の子たちの憧れの的となった、キュアブラックとキュアホワイトが再びスクリーンに戻り夢のコラボが実現する。
"
18话 / 1998-04-01 ",南方公园 第2季,18,South Park Season 2,773,7.7,(111人评分),"《南方公园/South Park》是美国喜剧中心(Comedy Central)制作的一部动画剧集，由Matt Stone和Trey Parker创作,讲述的是美国科罗拉多州一个叫南方公园的小镇上四个8岁的男孩和其他镇民疯狂的生活。此剧针砭时弊，对名流政客和社会现象的讽刺百无禁忌、不遗余力。这里是美国人大方展示自己乃至全人类的愚蠢、幼稚、自私、暴力的地方，充满着自嘲的意味。在南方公园里，荒谬是常态，贱人才可爱。许多情节看似荒诞不经，却能在潜移默化中让观者多少摆脱掉一些条条框框的思维定势，享受藐视权威、自由YY的乐趣。"
"
1话 / 1997年3月15日 / ウィーダ （ルイス・ド・ラ・ラメー） ",佛兰德斯的狗,1,劇場版 フランダースの犬,774,7.6,(125人评分),尼洛是一个孤儿，和爷爷一起生活在安特卫普城附近的霍布肯村。一个偶然的机会，他们收养了一条被人遗弃的大狗帕托拉休。男孩尼洛与大狗帕托拉休的患难友情从此展开……尼洛和爷爷过着穷苦的生活，帕托拉休尽自己所能帮助他们，为他们拉车进城卖牛奶。尼洛虽然贫穷，却拥有惊人的艺术天才，他心中有一个高贵的梦想，并为实现自己的梦想不懈努力。然而厄运却接连不断：因为穷富之别，尼洛被迫远离小伙伴阿洛娅，年少的清梦被搁浅；在世人都抛弃尼洛的时候，只有老狗帕托拉休和他不离不弃……
"
13话 / 2015年10月4日 / 水島精二 / BONES・會川昇 / 伊藤嘉之 ",Concrete Revolutio 超人幻想,13,コンクリート・レボルティオ～超人幻想～,775,7.5,(1903人评分),时值“神化”时代的东京，充斥着无数的英雄——“超人”。他们的诞生理由各有不同。然而对于这些超人的跋扈，日本政府绝不打算坐视不管.....
"
11话 / 2016年10月4日 / 出合小都美 / 緑川ゆき／月刊LaLa（白泉社）連載 ",夏目友人帐 伍,11,夏目友人帳 伍,776,7.5,(1419人评分),从小便能看见妖怪的少年夏目贵志。自从他从祖母玲子那里继承了与妖怪成为主从并将其名字书写在上的契约书“友人帐”以来，便与自称为保镖的妖怪猫咪老师一同，开始了将名字返还给妖怪的每一天。夏目与各种各样的妖怪与善良人们相遇，在构筑温暖的场所同时，也反复寄托着想要守护重要之物的想法。
"
1话 / 2016年10月29日 ",魔法使光之美少女 奇迹的变身！Cure Mofurun！,1,映画 魔法つかいプリキュア! 奇跡の変身！キュアモフルン！,785,7.6,(116人评分),"100年に一度どんな願いもかなえてくれる伝説の石・願いの石。 ,
その石の復活を祝う大魔法フェスティバルが魔法界で行われることになり、みらい達も願いの石に祈りを込めるが選ばれたのはなんとモフルンであった。 ,
しかし、突如現れた謎のクマ・ダークマターによってモフルンは連れされてしまう。 ,
助けに向かったみらいが見た奇跡とは…。 "
"
52话 / 1997年4月27日 / 案納正美 / 小川悦司 / 岸義之、二宮常雄 ",中华小当家,52,中華一番!,786,7.5,(2469人评分),"　　其內容主要描寫中國四川省的年輕廚師劉昴星（マオ，外號阿昴，台灣譯為小當家）學習廚藝，到廣州陽泉酒家修行，獲得特級廚師（漫畫中虛構的中國料理界的最高地位）資格，因為主角堅持一個信念－－料理是為人們帶來幸福的。結交許多對於廚藝有志一同的朋友，及最後與「黑暗料理界」（裏料理界）對抗過程的冒險歷程。,
,
　　漫畫（第1集～第17集完）、動畫有第1話～第52話，動畫的故事至此尚未完結，因為「傳說中的廚具」尚未取得，且尚沒有和黑暗料理界進行最後決戰，後續的劇情因動畫追上漫畫連載而就此打住。"
"
1话 / 1986年3月15日 ",大雄与铁人兵团,1,ドラえもん のび太と鉄人兵団,787,7.6,(269人评分),"利用任意门到了北极的大雄，无意间发现了机器人的零件，但是因为零件太大，于是就和哆啦A梦将零件拿到镜面世界这个无人的世界里组装。组装完成后，哆啦A梦就将他取名为“圣诞武士”。当正在高兴的操控圣诞武士时，无意间发现他居然着装著毁灭性的导弹…。,
,
大雄在真实世界无意间与自称是机器人主人的莉露露相会，并且借走了可以进入镜面世界的道具。但后来大雄与哆啦A梦居然发现镜面世界居然建立了为了攻击地球的基地！而且指挥者就是莉露露，原来她是由机械理想国所派出来引导铁人兵团到地球的机器人。,
,
为了拯救地球的危机，大雄们决定与铁人兵团一战。由于莉露露受伤被静香所救，并且与莉露露讨论征服地球是个不对的行为。铁人兵团等不及莉露露的联络，也已经大规模的都到了地球，于是大雄他们在镜中的世界开始与铁人兵团作战。莉露露也受到静香的感动，认真思考起他们行为的不妥，于是伙同静香到3万多年以前找当时创造出机械理想国祖先的人类博士，企图改造机械理想国祖先，使其后代机器人不会想要征服地球。"
"
1话 / 2012年12月30日 C83 ",第七届东方M-1漫才大赛,1,第7回東方M-1ぐらんぷり,788,7.6,(163人评分),"コミックマーケット83新作,
「あ～るの～と」がお贈りする東方漫才アニメDVD第五弾！！　,
,
『第7回東方M-1ぐらんぷり』,
,
【司会進行】,
森近霖之助,
豊聡耳神子,
【審査員】,
霍青娥,
宮古芳香,
火焔猫燐,
博麗霊夢,
二ッ岩マミゾウ,
四季映姫・ヤマザナドゥ ,
【会場】,
妖怪の山特設スタジオ"
"
6话 / 2012年4月3日 ",男子高中生的日常 特典,6,男子高校生の日常 特典映像,789,7.5,(1104人评分),"通常特典,
男子高校生と理想（1巻特典映像）,
男子高校生と孤独（2巻特典映像）,
男子高校生とチャック（3巻特典映像）,
男子高校生とひっかけ（4巻特典映像）,
男子高校生としゃっくり（5巻特典映像）,
男子高校生と気遣い（6巻特典映像）"
"
26话 / 2009年1月26日 / ボブ白旗 / 日丸屋秀和 / 河南正昭 ",黑塔利亚,26,ヘタリア Axis Powers,790,7.5,(2278人评分),这是一部主要以第一次世界大战到第二次世界大战间的世界史为原形的戏仿作品。其中登场人物几乎都是将国家及地区的风土民情、国民性模拟成人格的角色，而「ヘタリア」就是由这些角色们展开的国家拟人化历史喜剧。
"
1话 / 2001年5月26日 / りんたろう / 手塚治虫 / 名倉靖博 ",大都会,1,メトロポリス,791,7.5,(747人评分),"机器人和人类共度岁月，一个令人想象无限的未来世界。,
　　,
在后现代的巨大都市梅陀宝丽斯，被称之为本时代进步象征的超级摩天大厦正在举行落成典礼。手握本市实权的RED先生台上演讲正酣，台下一名黑衣青年男子（RED的养子ROCK）却在警备重重下公然拔枪杀人，群众一阵哗然骚乱。目睹此事的日本侦探伴俊作，携外甥剑一，开始进行全市的追凶调查。但是ROCK被判明只是射杀了机器人，凶手若无其事的离去了。,
　　,
这个国度满是严重的社会矛盾。梅陀宝丽斯由先进的地上部分和颓败的地下部分构成二重结构的都市体系，在这个城市生存的人类中间，有从高度发达的机器人世界中受益，享受文明技术优越性的人，也有反之被机器人夺走工作无以糊口的人，还有要求让机器人同样享有人权自由的群众团体，种种争执，意见纷纷。特别是一个叫做MARUDOKU的恐怖组织，要求从机器人社会找回人类应有的权利，实现人权的复归，他们甚至开始了破坏毁灭每一个机器人的行动。 ——这个混沌混乱的国家，局势被说成一触即发，危如累卵也不为过。,
　　,
伴俊作侦探和机器人刑警BERO共同展开搜索工作，终于找到了ROTON博士的藏身之处。博士因为使用人的躯体进行人造人类的研究制造，变成了国际通缉犯。但ROTON实际上被RED秘密保护起来，根据RED的指令继续开发制作全新的人造人，这第一个新“人类”的面貌，和RED那死去的女儿TEIMA拥有着一样的面貌……　　 "
"
98话 / 2009年4月5日 ",龙珠改,98,ドラゴンボール改,792,7.5,(679人评分),"本系列于2009年4月5日开始同系列播出，开播20年为早期作品《七龙珠Z》的再编辑版。除了部分画面、角色和人物造型作出修改外，制作组亦把有关故事浓缩，让剧情发展更流畅。而本作命名为“改”（日语假名：かい）则是代表更新与修改之意。,
,
2009年4月5日起，逢周日于日本富士电视台播放《七龙珠改》。把原本自1989年至1996年播放的《七龙珠Z》，从‘赛亚人篇’开始，为了尽量贴近鸟山明原著漫画的情节，会把原来电视用作“充撑”（动画进度追贴漫画时，因不愿暂停播放而加插的剧情，或故意拉长情节）的加插内容大幅删掉，剧情更加流畅明快。另外，动画会以高解析规格播放，配音和配乐部份会重新制作，尽量邀请原任声优重新配音演绎。,
,
本作只至‘人造人·沙鲁篇’后便停播。直到2014年2月21日官方终于宣布：“将从4月开始播出‘魔人布欧篇’。”并从4月6日开始，每周日早上9点至9点半在日本播出。"
"
2话 / 2007年10月18日 / 飯村正之（第1话） / 蒼樹うめ / 伊藤良明 ",向阳素描 特别篇,2,ひだまりスケッチ 特別編,793,7.5,(404人评分),また特別編が2007年8月に開催されたTBSアニメフェスタ2007で前編が先行公開され、2007年10月18日にBS-iで前編・後編の2話が放送された。
"
13话 / 2014年10月4日 ",Fate/stay night [Unlimited Blade Works],13,Fate/stay night [Unlimited Blade Works],794,7.5,(7013人评分),"舞台は海と山に囲まれた都市・冬木市。,
そこで行われる、ある一つの儀式。,
,
手にした者の願いを叶えるという聖杯を実現させる為、聖杯に選ばれた七人の魔術師に、聖杯が選んだ七騎の使い魔を与える。,
,
騎士 ""セイバー"",
槍兵 ""ランサー"",
弓兵 ""アーチャー"",
騎兵 ""ライダー"",
魔術師 ""キャスター"",
暗殺者 ""アサシン"",
狂戦士 ""バーサーカー"",
,
マスターは七つの役割を被った使い魔一人と契約し、七組は、聖杯を求め、最後の一組となるまで殺し合いを繰り広げる。,
,
その名は「聖杯戦争」。,
,
,
2014年 秋、開戦 ――。 "
"
26话 / 2006年4月6日 / 下田正美 / 矢立肇・伊東岳彦 / 山下明彦 ",ZEGAPAIN,26,ゼーガペイン,795,7.5,(387人评分),"未来的にデザインされた街・舞浜市に住み、近郊の高校に通う普通の学生、キョウ。たった1人で水泳部を切り盛りする彼は、中学の時の因縁から難癖をつけてくる宿敵らとのいざこざも意に介さず、水泳部への勧誘を行う傍ら練習に励むため学校の室内プールへと向かう毎日。,
,
ある日、幼なじみのリョーコに頼まれ、映画研究部作品の撮影中、やる気の無いキョウはNGを出し撮影は中断。ふと、窓の外を見ると、プールの飛び込み台の最上段に1人の見知らぬ美少女・シズノが立っていた。,
,
水泳部入部希望者と察したキョウは、慌ててプールへと急ぐが、シズノは声にならない謎の言葉を残し、華麗な飛び込みを見せ、そのまま水中に忽然と姿を消す。シズノの事が忘れられないキョウだったが、程無くして彼女はキョウの自室に忽然と現れた。,
,
シズノはキョウに「ゲーム」の始まりを宣言した。キョウは彼女に導かれるままに異空間へ転送され、美しい光の装甲をまとった巨大ロボットゼーガペイン・アルティールに乗り込み、敵キャラクターをシズノと共に倒していく。だがしばらくして、キョウは様々な疑問に対峙していく事になる…。,
,
繰り返されるデジャビュの感覚、自分しか知らない筈の事をいつの間にか知っているリョーコ達学友。キョウが真実に近づくのをどこか警戒している生徒会長=司令官シマ。ゼーガペインでの戦いを「ゲーム」と称した事で怒りを露にするルーシェン達パイロット。そして、初めて搭乗したゼーガペインの操縦桿を違和感なく繰る自分自身。,
,
果たして、キョウが繰り広げるこの戦いは、本当にバーチャルなのだろうか?,
,
様々な痛みと想いが交錯しながら、世界は徐々に真実の姿を曝け出し、遂に残酷な真実をキョウは目の当たりにする。,
,
仮想世界と思っていた世界に広がる荒廃した舞浜…そこには破壊された学校やリョーコとの思い出の場所もあった。シズノは言った。ここが、現実の舞浜だと…。,
,
そして、ゲームの敵と思っていた機動兵器の中には、アビス…深淵の名で呼ばれる亜人類の姿があった。,
,
残酷すぎる事実と真実を知り始めた時、キョウの本当の戦いが始まる…!!,
"
"
13话 / 2013年7月6日 / 水島努 / 木尾士目 / 谷口淳一郎 ",现视研 二代目,13,げんしけん 二代目,796,7.5,(1335人评分),"椎应大学现代视觉文化研究会、通称「现视研」。,
成为新会长的荻上千佳，借鉴着去年的迎新活动经验，在今年也力争拉入更多的新生入部。在迎新会场，把仍然自娱自乐地玩着COSPLAY的前会长・大野加奈子放在一边，荻上现场表演了即兴手绘大幅插画的功夫！而对此有所反应的两位女生，新入校的吉武莉华和矢岛美怜也决定加入现视研。所谓物以类聚，这二位自然也不是省油的灯——两人都是腐女子！而更加奇葩的则是出现在部室、希望入部的栗色头发女生，这位清秀美人的真身其实是标准的伪娘・・・,
迎接了超有个性的新生们加入，『现视研二代目』的活动即将开始！"
"
51话 / 2005年4月5日 / 浜津守 / 平山智 ",玻璃假面,51,ガラスの仮面,797,7.6,(199人评分),"北岛麻亚是个平凡的高中生，与母亲住在中华料理店的二楼，但麻亚十分喜爱戏剧，只要是她看过一次的戏，就可以将全部台词背起来。她获选参与学园祭的戏剧演出机会，但她所饰演的角色是村裏最穷，受人嘲笑的角色，令她感到十分自卑。这时，一个偶然的机会，让麻亚遇到了女艺人月影千草，麻亚受到千草的鼓励，终於敢抬头挺胸的站在舞台上，尽情的表演。从此，麻亚在千草的提携下，进入演员训练班上课，一步步迈向她的演艺生活……,
"
"
13话 / 2015年4月2日 ",我的青春恋爱物语果然有问题 续,13,やはり俺の青春ラブコメはまちがっている。続,798,7.5,(5527人评分),"因过去的心理阴影而以独自的别扭思考回路讴歌着“独自生活”的比企谷八幡，由于意外的事件而被生活指导担当教师平冢静带去“侍奉部”并加入其中。他和同社团所属的令人窒息的完美美少女·雪之下雪乃，以及班级上位阶级所属的时髦女子·由比滨结衣一同，从解决班上的人际关系问题到文化祭实行委员的运营，度过着解决各种案件的每一天。,
时至秋日，八幡等二年级学生前去修学旅行。此时，侍奉部接收到了一个委托。,
随着新登场的一色彩羽的加入，他们的关系更加错综复杂。,
——八幡空虚的价值观也有了少许变化，在这些经验过后，他的高中生活又将迎来新的展开。"
"
1话 / 2013年8月12日 / 上海アリス幻樂団(ZUN) ",第一届东方M-1漫才大赛 重制版,1,第1回東方M-1ぐらんぷりR,799,7.7,(82人评分),"幻想郷の本格漫才バトルが大復活！！,
,
伝説の始まり,
「第1回東方M-1ぐらんぷり」が,
アニメーションとなって甦る！！,
,
～東方M-1ぐらんぷり～,
,
それは、幻想郷の漫才師たちが最高峰の名誉と優勝賞品をかけて,
繰り広げる壮絶な戦い、幻想郷史上最大の漫才頂上決戦である！,
,
1800組から選ばれし4組の頂点に立つのは！？,
優勝商品『蓬莱の薬』を手にするのは！？,
,
今、最後の決戦の時が来た！！"
"
9话 / 2008年5月2日 / ほしかわたかふみ / 波部崇、うめつゆきのり ",糖果男孩,9,Candy boy,800,7.5,(985人评分),"　　关于孪生姐妹之间超过亲情以上的暧昧关系，以及两姐妹在一个学妹的出现所产生的隔阂。剧中樱井雪乃和樱井奏是双胞胎。在同学的渲染下，奏误会雪乃对学妹神山咲夜产生情愫，进而疏远和雪乃的关系。雪乃察觉奏对自己的冷漠，大胆向奏告白示爱，两姐妹终于认清对方是自己的最爱。,
　　Candy☆Boy的续集“Candy boy”由2008年5月2日开始在NICONICO动画频道以网络影像型式播放，每话约长15分钟，全7话。 "
"
24话 / 2013年4月12日 / 長井龍雪 / 鎌池和馬＋冬川基（電撃コミックス／アスキー・メディアワークス刊） / 田中雄一、冷水由紀絵（副人物设计） ",某科学的超电磁炮S,24,とある科学の超電磁砲S,809,7.5,(6611人评分),"超能力を駆使する女子中学生らの活躍を描いたアニメ「とある科学の超電磁砲（レールガン）」の第2期の制作が、アスキー・メディアワークスの創立20周年記念イベント「電撃20年祭」で21日、明らかになった。1期アニメの続編で、2期のタイトルは「とある科学の超電磁砲S」。,
とある科学の超電磁砲S(2期)は2013年4月放送開始!!OP担当はfripSide！"
"
50话 / 2012年4月5日 / ヒガアロハ ",白熊咖啡馆,50,しろくまカフェ,810,7.5,(2312人评分),原作是在《月刊flowers》上连载的动物漫画，讲述咖啡馆主人白熊和常客熊猫、企鹅等动物的故事。动画为4季预定年番。
"
25话 / 2013年10月5日 / 石平信司 / 橙乃ままれ / いとうまりこ ",记录的地平线,25,ログ・ホライズン,811,7.5,(3105人评分),老牌网络游戏“幻境神话”引入第十二次资料片改版〈开拓智域〉后，日本有三万名用户被锁在游戏当中。现实与游戏奇妙融合的世界中，男主角城惠在秋叶原街的舞台上展开了战斗。
"
1话 / 2009年10月25日 / 韦斯·安德森（Wes Anderson） ",了不起的狐狸爸爸,1,Fantastic Mr. Fox,812,7.7,(107人评分),"　　本片根据挪威藉英国儿童文学作家罗尔德·达尔（Roald Dahl）的同名儿童故事改编。狐狸爸爸（乔治·克鲁尼 George Clooney 配音）和狐狸太太（梅丽尔斯·特里普 Meryl Streep 配音）在乳鸽场偷窃时得知狐狸太太怀孕，狐狸爸爸承诺二人脱逃后不再行窃。两年后，狐狸爸爸不顾獾律师（比尔·默瑞 Bill Murray 配音）的反对，执意购入了位于养鸡场、火腿商和苹果酒三农场主地界上的树屋。一心想成为运动员的狐狸儿子艾什（詹森·舒瓦兹曼 Jason Schwartzman 配音）对新搬来暂住的表兄克里斯托弗森（艾瑞克·蔡斯·安德森 Eric Chase Anderson 配音）又妒又恨；而狐狸爸爸则再次按奈不住，联合树屋管理员负鼠凯利（华莱士·沃勒德斯基 Wallace Wolodarsky 配音）秘密对三农场主再行偷窃，直到引来一场人和动物的殊死大战…… ,
　　本片被提名英国电影电视工会最佳动画片及最佳音乐奖和金球奖最佳动画片，并获拉斯维加斯、洛杉矶、纽约和多伦多影评人协会的最佳动画片奖，及旧金山和圣地亚哥影评人协会最佳改编剧本奖。"
"
2话 / 1991年9月27日 / もりたけし / ガイナックス ",OTAKU的录像带,2,おたくのビデオ,813,7.5,(339人评分),"おたくのビデオ,
続・おたくのビデオ,
,
オリジナルビデオ作品　1992年,
　1982年、大学に入ったばかりの久保は、テニスとデートに明け暮れる毎日を送っていた。そんな日々に漠然とした不満を抱いていた彼は、高校時代の友人・田中に出会う。,
　サークルを作りアニメに没頭している田中とその仲間たちに、次第にひきこまれていく久保。おたく道の中にあたらしい生きがいを見出した久保は田中とともに、おたくの中のおたく・おたキングをめざそうと決意する・・・。,
　80年代のおたくたちを主人公にした異色の青春群像ドラマ。当時の独特な熱気を、愛情をこめて描いた作品です。この物語はあくまでフィクションですが、ガイナックスの自叙伝とも言える側面をもっています。,
　また、現在のおたくたちの生態をルポルタージュ形式で描いた「おたくの肖像」も収録しており、緻密なデータによってその実像を明らかにしています。 "
"
13话 / 2019年7月6日 / 小野勝巳 / 上松範康、金子彰史 / 藤本さとる ",战姬绝唱SYMPHOGEAR XV,13,戦姫絶唱シンフォギアXV,814,7.5,(378人评分),"神の力を以ってして、,
神そのものを討ち斃さんとした原初のヒトガタ、アダム・ヴァイスハウプトは、,
サンジェルマンたちの理想の源パワーソースである,
ラピス・フィロソフィカスにて黄金錬成されたシンフォギアによって撃槍される。,
,
暗躍してきたパヴァリア光明結社はここに瓦解し、,
その残党は、各国機関の活躍によって追い詰められていくのであった。,
,
そして――,
追い詰められているのはパヴァリア光明結社だけではない。,
,
かつての超大国アメリカもまた、,
日本に向けた反応兵器の発射事実を非難・追及され、国際社会からの孤立を招いていた。,
,
閉塞した状況は、新たな世界規模闘争の火種にもなりかねないため、,
速やかなる政治的解決が望まれているが、,
複雑に絡む国家間の思惑は軋みをあげるばかりで、遅々として進んでいない。,
,
当該国である日本も、,
アメリカとの協調政策を打ち出して関係修復をアピールしているものの、,
どこかうすら寒い表面的なムードに終始して、局面打開には至っていない。,
,
いまだ見えない世界の行く末。,
,
さらに、張りつめた空気はここにも。,
,
都内ランドマーク各所が一望できる、,
デートスポットとしても人気の大観覧車のゴンドラに乗っているのは、,
私立リディアン音楽院に通う高校生、立花 響と小日向 未来。,
,
ふたりが手にした鯛焼きは白玉入りであり、絶品。,
甘すぎず、まるでぜんざいもかくやという口当たりの餡は申し分が無かった。,
,
それでも、ふたりの間に緊張が走るのは、,
何の気なしに未来が響に発した、問い掛けに始まるものであった。,
,
返答に窮した響の胸の奥にあるものは、果たして。,
,
過去から現在に向けて紡がれたいくつもの物語は、ＸＶに集束していく。,
,
聖骸を巡る攻防は、どこまでも真夏の只中。,
,
はじける湖面を舞台に、少女たちの歌声が輝きを放つ。"
"
1话 / 1995年7月15日 ",灌篮高手 咆哮吧篮球员的灵魂！！花道和流川的灼热夏季,1,スラムダンク 吠えろバスケットマン魂!!花道と流川の熱き夏,815,7.6,(234人评分),流川的后辈一郎的梦想是考入湘北，和流川前辈一起称霸全国。然而，他这个梦想却因为医生的诊断书而面临绝望……
"
2话 / 2017年2月18日 / 鶴巻和哉 / 舞城王太郎 / 井関修一 ",龙的牙医,2,龍の歯医者,816,7.5,(1922人评分),"彼の国には龍が棲んでいる──,
神話によれば、古の人々との契約により、龍は人を助け、人は龍を助けるという…,
舞台は “龍の国”。主人公は、国の守護神 “龍”を虫歯菌から守る新米・歯医者の野ノ子。,
隣国との戦争が激化する中、ある日彼女は、龍の歯の上で気絶した敵国の少年兵を見つける。,
少年の名はベル。大きな災いの前に龍が起こすと言われる不思議な現象で、巨大な歯の中から生き返ったものだった。,
自らが置かれた状況に戸惑うベル。そして彼を励まし、彼を龍の歯医者として受け入れる野ノ子。,
激しい戦いに巻き込まれながら、二人はやがて自らの運命を受け入れて行くことに…,
かつてない壮大なスケールで描かれる冒険ファンタジー！"
"
78话 / 1994-10-24 ",夜行神龙,78,Gargoyles,817,7.8,(65人评分),"　白天只是高塔上的石像，而当夜幕降临时，他们就会成为黑夜里最恐怖的梦魇……中世纪的欧洲，生存着一种奇异的生物，他们有着超人的力量和锋利的爪子甚至还生有能在空中滑翔的巨大翅膀。为了在白天得到保护，他们与人类合作为领主们攻城拔寨，背叛－－人类用他们最擅长的伎俩毁灭了他们，领袖带领着剩余的族人借由魔法的力量永远化为石像直至城堡的塔尖高过云端。,
时光流逝1994年的美国纽约，那千年的咒语破解了，亿万富豪大卫·塞纳吐司以巨大的财力和高超的科技唤醒了沉睡了千年之久的夜行神龙一族…"
"
24话 / 2004年10月5日 / 前田真宏 / アレクサンドル・デュマ著「モンテ・クリスト伯」 ",岩窟王,24,巖窟王,818,7.5,(541人评分),"东京国际动画节“东京动画奖”电视部门优秀作品赏,
第10回动画作品神户赏电视部门获赏,
,
　　这部动画的舞台是幻想中未来的巴黎。生于贵族之家的阿鲁贝尔和百无聊赖的朋友弗兰兹一起外出旅行。在月面都市露娜上邂逅了从外宇宙凯旋而归的叫作蒙迪·克里斯托伯爵的神秘大富翁。神秘的外貌、出类拔萃的感受力，充满智慧的对话和大胆的行动，都使阿鲁贝尔彻底醉心于伯爵。伯爵也希望阿鲁贝尔成为他与巴黎社交界的桥梁。,
　　尽管弗兰兹对于阿鲁贝尔迅速被伯爵他倾倒一事感到十分担心，可阿鲁贝尔却完全充耳不闻。其实，伯爵的真实目的是为了复仇。天真的阿鲁贝尔并不知道，她的母亲当年曾和伯爵订婚，而她自己也已经成为了伯爵报复的对象。,
　　被伯爵玩弄于鼓掌之间的阿鲁贝尔将会怎样？伯爵复仇的下一步行动又是什么！？"
"
4话 / 2006年3月29日 / 水島精二 ",钢之炼金术师 PREMIUM COLLECTION,4,鋼の錬金術師 PREMIUM COLLECTION,819,7.5,(512人评分),"実写篇(实写篇),
新作短篇之一。盔甲阿尔寻找爱德的故事。,
,
宴会篇(宴会篇),
新作短篇之一。为了祝贺结束摄影剧场版的宴会於居酒屋(小酒馆)『凡豆(ぼんず/Bonzu)』举办，可爱的SD角色们集合起来，大家一起胡闹。,
,
子ども篇(孩子篇),
新作短篇之一。给某某的100岁生日礼物。,
,
国家錬金术师军団VS七大ホムンクルス(国家鍊金术师军团vs七大人造人),
在USJ上映的短篇映像。,
,
恩维与古力德镜头篇,
具体不明。"
"
14话 / 2001-06-20 ",南方公园 第5季,14,South Park Season 5,820,7.7,(95人评分),
"
10话 / 2017年1月11日 / 金﨑貴臣 / 暁なつめ / 菊田幸一 ",为美好的世界献上祝福！ 第二季,10,この素晴らしい世界に祝福を！2,821,7.5,(4338人评分),
"
25话 / 2010年4月3日 / 福島利規 / 満田拓也 ",棒球大联盟 第六季,25,メジャー 第6シリーズ,822,7.6,(127人评分),    满田拓也所著的棒球漫画「MAJOR(棒球大联盟)」，从1994年开始在「周刊少年Sunday」上连载至今，已经出版了74卷单行本，是「周刊少年 Sunday」里单行本卷数最多的长篇漫画。作品讲述了主人公・茂野吾郎，历经少棒联盟与高中棒球时代，进入美国大联盟挑战的成长历程。根据本作改编的 TV动画从2004年起在NHK教育电视台播放，自此基本每年都会推出一季，接续09年初的第5季的大联盟篇和世界杯篇，第6季已确定在2010年4月3 日播放。相比起其他热播中的长篇动画，「棒球大联盟」的分季制作相信更能让多数观众接受，一来可以忠实于原作漫画避免靠原创剧情拖时间，二来观众也不会因长期追看而产生视觉疲劳。
"
 1话 / 2019年11月29日 ",剧场版 高达G之复国运动 I 去吧！核心战机,1,劇場版 ガンダム Gのレコンギスタ I 行け！コア・ファイター,823,7.7,(70人评分),地球上のエネルギー源であるフォトン・バッテリーを宇宙よりもたらすキャピタル・タワー。タワーを護るキャピタル・ガードの候補生ベルリ・ゼナムは、初めての実習で宇宙海賊の襲撃に遭遇して捕獲に協力。捕まった少女アイーダに不思議な何かを感じたベルリは、彼女が「G-セルフ」と呼ぶ高性能モビルスーツを何故か起動できてしまう。宇宙世紀終焉後の時代、リギルド・センチュリーを舞台に少年少女の冒険は世界の真相に直進する。
