Tip,chinese_name,content,episode,movie_name,ranking,score,score_num,summary
1话/2010年10月30日,Heart Catch光之美少女 超级时尚秀在花之都...真的吗！？,相比TVboss杜恩，剧场版boss沙拉曼达形象的塑造简直太好了，有血有肉有目的，尤其对儿子奥利维耶的感情，两个人相互扶持那种关系，奥利维耶的形象更像是来折射主角四人的，通过分别与主角四人单独相处一段时间的剧情来让大家感化他，也更是反射出主角四人的change，与TV里第二...,1,ハートキャッチプリキュア! 花の都でファッションショー…ですか!?,448,7.8,292,東映動畫超人氣作品《光之美少女》系列的第7代動畫《HeartCatchPreCure!》，確定將在今年10月30日推出首部大銀幕作品《HeartCatch光之美少女！超級時尚秀在花之都...真的嗎！？》。
12话/2010年10月7日/石黒正数（少年画報社、月刊『ヤングキングアワーズ』連載）/山村洋貴,女仆咖啡厅,FB的视频不知道怎么扒。。只有这样了。。[https://www.facebook.com/Radioonelebanon/videos/2163727663649622/?autoplay_reason=all_page_organic_allowed&video_container_type=0&video_creator_product_type=2&app_id=2392950137&live_video_guests=0]...,12,それでも町は廻っている,450,7.7,2284,女高中生岚山步鸟，在丸子商店街的咖啡厅SEASIDE的做兼职服务生。有一天，店长宣告为了咖啡厅的繁盛要构想新策略。于是，最终敲定把咖啡厅改造成时下流行的女仆咖啡厅。但是，店里的相关人员没人了解女仆咖啡厅，最后就只让服务员换上女仆装就宣布重新开业了。步鸟学校的前辈双叶、单恋步鸟的同级生广章，围绕在步鸟身边发生的各种闹剧就此展开……
1话/2013年9月28日,剧场版 空之境界 未来福音 extra chorus,念叨了好久，今天总算是把《未来福音》补上了。要说感觉的话，自然还是那种“终于将最后一片拼图放好”的完成感最为明显。比如，我以前只知道两仪家是名门大户，今天才知道原来人家黑道的(#ﾟДﾟ)比如，我以前以为那晚穿着黄色和服和干也去约会的是式，今天才知道原...,1,劇場版 空の境界 未来福音 extra chorus,452,7.7,2091,「劇場版空の境界未来福音」の同時上映作品。「空の境界」シリーズの原作者・奈須きのこと武内崇による同人サークル「竹箒」名義で2008年に発表された「空の境界未来福音」（小説2編・漫画3編）に収録されている、武内崇による漫画「1998年」3編をアニメ化した。
1话/2019年9月7日/木头(MTJJ),1,2012（个人）二次元总结[https://bgm.tv/blog/42576]2013（个人）二次元总结[https://bgm.tv/blog/50180]2014（个人）二次元总结[https://bgm.tv/blog/54435]2015（个人）二次元总结[https://bgm.tv/blog/271971]2016（个人）二次元总结[https://bgm.tv/blog/275090]2017（个人...,木头(,罗小黑战记,454,7.7,1099,妖精一直和人类共同生活在这片土地上，而人类并不知道妖精的存在。小黑就是一只小猫妖，这是关于他的故事。
14话/2008年7月3日/新房昭之/蒼樹うめ/伊藤良明,向阳素描×365,本文最初发布在bangumi上，写于2019年6月26日。#关于日常系动画写在补完第三季，看第四季之前。之所以选择这个时间节点写下这些文字，是因为害怕随之而来的“毕业，离别，完结“给我带来的失落感，冲刷掉了我所感受到的温暖。我看这部动画的契机是，这部动画...,14,ひだまりスケッチ×365,456,7.7,777,《向阳素描×365》讲述的是女主角由乃考入了憧憬已久的私立山吹高校美术科而离开父母独自求学。在学校前方的一个名为“向阳庄”的小公寓里在同年级的宫子和学姐沙英和寻（老夫老妻）的照料下过起了绚烂多彩的公寓生活。续作将继续描述住在向阳庄的这4位少女的日常生活（1年365天），故事中洋溢的人情仿佛人体体温般（平均36.5℃）温暖。
1话/2009-08-04(中国大陆)/2009-05-29(美国),飞屋环游记,其实也没什么特别神的剧情，就是一个老头子和一成事不足败事有余的小胖男孩的冒险记。画面很漂亮！片中印象最深的一幕是老头子的妻子去世后。生活还要继续，每天起来，用滑索下楼，擦有她的相框，擦和她一起买的陶瓷小鸟，摆正好生前她总坐着的椅子，这一天与每一天没什么不...,1,UP,458,7.7,1909,小男孩卡尔（CarlFredricksen）怀揣着对于冒险的热爱偶遇假小子艾丽（Ellie），而艾丽把整个屋子当成一艘大飞船游戏居然使他对这个女孩子有些着迷，相同的爱好最终使两个人成为了一生的爱侣。
12话/2008年10月5日/あおきえい/瀬川はじめ（月刊「少年エース」連載、角川コミックス・エース刊）/堀内修,食灵-零-,ロケハン就是实地取景的意思staff全程玩的超欢脱带你环游日本特别是还带了个白石(bgm38)(bgm38)（看过脑残星的都知道）字幕一直解释说这个是为了测试音响效果，这个是为了确定大小比例可看起来就是纯粹在玩不过杀生石遗迹那里放出动画对比图可以看得出来制作...,12,喰霊-零-,461,7.7,3527,漫画版前传，讲述女主角土宫神乐与谏山黄泉相识之初的一段往事。
98话/1984年9月17日,变形金刚,《魁！！铁人塾》第四章：变形金刚变形记-3作者：难攻博士原发表时间：Jul13Fri2007「难攻老头，卖拷贝把变形金刚统统毁容是怎样？」「鬼冢老师，多半是悲惨童年所引起的吧…」※※※好啦～不管你是先看电影再读影评，或是先拼专栏再上戏院，总之，「鬼攻二人组」...,98,The Transformers,462,7.9,159,"ThispostershowsseveralTransformers,includingOptimusPrime,Megatron,Slipstream,andBumblebee.Inthemiddleitsays""Transformers"".Thispostermeasuresapprox.24""x36""TransformersarefictionalalienrobotsandthetitularcharactersofapopularHasbrotoylineanditsspin-offs.TheycomefromtheplanetCybertronandaredividedintotheheroicAutobots,ledbyOptimusPrime,andtheevilDecepticons,ledbyMegatron.Theyareableto""transform"",rearrangingtheirbodiesintoacommonandinnocuousform,suchasacar,aircraft,oranimal."
13话/2002年10月9日,灰羽联盟,毫无疑问，这番的后半部分再次堕入了十字教的语境，最后两集更是遇事不决精个分。“知罪者无罪”这个悖论之环是怎么解开的呢？因为知晓了自己的罪，无法原谅自己，那么就把原谅的权力交出来，通过自我阉割的方式对一个中介赋义和取回。我笃定某个中介可以原谅我（赋义）→我获...,13,灰羽連盟,463,7.7,1285,從高空墜落的少女。不久後她從溢滿水的繭中醒過來。在古老建築物的一個房間裡迎接她的是背上擁有無法飛的灰色翅膀，被稱為「灰羽」的少女們。由繭裡時做的天空落下的夢，將少女命名為落下(ラッカ)。故事敘述灰羽（Haibane）與人類這兩種生物共同生活在栗城中，主角落下（Rakka）新來乍到，學習如何以灰羽的身分生活，直到幫助另一灰羽礫（Reki）離開，從中引出名字、記憶、夢、罪、遺忘與傷害的探討。
24话/2005年4月12日/山田風太郎,甲贺忍法帖,黄泉下，伊贺如火如荼的分锅大会已经进入尾声，原十人众却只剩九人，提前离席的是大小姐胧，她因为不堪受辱已经早早喝下孟婆汤过桥去了。“也好，也好，这样她就能忘记上辈子自己是个智障的事实了。”“可咱们伊贺总不能把锅甩给一个有智力障碍的残疾人吧。”“嗯，总得...,24,バジリスク ～甲賀忍法帖～,476,7.7,1306,庆长19年，73岁高龄的德川家康为了第三代将军继承人人选的问题而烦恼。是愚笨的哥哥竹千代，还是天资聪慧的弟弟国千代。在这乱世里第三代将军的继承问题落到了两大忍术宗家——甲贺流和伊贺流的身上。家康决定由两家各派出10名最优秀的忍者，进行一场生死大对决，两派之中幸存下来的一方将得到千年的荣禄，并由其支持的一方继承人继承将军的名号。
1话/1988年4月16日/野坂昭如,萤火虫之墓,其他长评都说得挺到位，补充一些观点，以下涉及剧透悲剧的转折点，亲戚家阿姨不想让他们饭来张口，想让哥哥帮忙出力，否则中午只给吃咸稀饭。妹妹吃久了咸稀饭不想吃，哥哥不想让她受委屈，于是取钱买炊具自己煮。寄居期间，哥哥带妹去沙滩玩耍（而一旁路人在为生计奔波），穿插...,1,火垂るの墓,478,7.7,2216,故事讲述大战末期，十四岁的哥哥和四岁的妹妹在空袭中失去了母亲，而当地政府为了强迫人民节省战争下剩余的物资，对他们实施严厉的管制，哥哥和妹妹两人都不愿意在这种管制下生活，两兄妹遂以洞穴为家，没有大人帮助他们，要自行找寻食物维生，生活刻苦之余，他们也像其他小孩一样活泼好动，闲来在杂乱下的田间玩乐，夜晚更一起在草地上观看漫天飞舞的萤火虫。可是快乐的日子不长……
12话/2020年4月2日/村野佑太/久米田康治（講談社「月刊少年マガジン」連載）/山本周平,隐瞒之事,SHAFT呢？？？？,12,かくしごと,480,7.7,560,ちょっと下品な漫画を描いてる漫画家の後藤可久士。
95话/1996年1月10日/古橋一浩/和月伸宏/濱洲英喜→室井ふみえ,浪客剑心,把酒饮月明，风渐云行。春末红樱夏时星，素盏独醉冷落了，长剑锋青。胧月人只影，寂寥生平。白梅染血玉脂凝，星霜漫天尽化作，十字伤情。追忆篇上映20周年了，这篇安利文想写给从未接触过浪客剑心系列的朋友们。第一次看追忆篇又完全不懂历史的话，估计会陷入“他为啥要杀...,95,るろうに剣心 -明治剣客浪漫譚-,481,7.7,1309,"维新政府建立后的某一天，在一个小村庄里，剑心遇见了一位美丽的少女神谷熏。交谈中得知有个叫比留间五兵卫的人冒充拔刀斋在村里作恶，阿熏手拿竹刀与之拼命，但不是对手。五兵卫手起刀落，眼看阿熏性命难保，千钧一发之际，一个人影风驰电掣般闪过，五兵卫劈了个空，而阿熏已在一位英俊的红发""少年""怀中。"
1话/1988年10月8日/望月智充/まつもと泉,橙路 再回到往日,不怎么喜欢剧场版，人物性格差距也太大了。虽然都是一个导演同样的团队制作，但是上来10分钟就崩了除了小光之外的另外两个人性格。1.圆不让小光了。2.恭介直接否认事实说谎。3.恭介不会拒绝小光的福利。这在tv和漫画里都是不可能的，圆会生气但不会不让她那个妹...,1,きまぐれオレンジ☆ロード あの日にかえりたい,482,8,86,1988年10月8日上映，是动画版的完结篇，交代了春日恭介在三角恋的选择。讲述鲇川圆和春日恭介考进大学前一刻，回想前年夏天他和鲇川圆和桧山光的三角恋的解决。
18话/2019年3月15日/TimMiller,爱、死亡 & 机器人,有的motif有意思，但做成节奏快到来不及思考的短片合集就掩盖掉了叙事方面的问题，绕开这个又有一堆梗坑等着你往里跳。但归根结底，LDR的胜利，还是60分剧本做出95分效果的动画技术的胜利，以及层次低一些看出什么梗然后拿来和泥巴甩人的肉体快感。1大老板要...,18,"Love, Death & Robots",487,7.7,1661,这个NSFW动画系列剧中充满了可怕的生物、令人惊讶的情节以及黑色幽默，由蒂姆·米勒和大卫·芬奇打造。
12话/2016年1月7日/伊藤智彦/三部けい（「ヤングエース」連載）/佐々木啓悟,只有我不存在的城市,客观给7分，主观给9分。相较于推理悬疑，不如直接说是温情番。整体看下来的感觉，除了在番剧中多次强调的“信任”，“行动”同样吸引我的注意。尤其是如今，主动采取行动的积极性也许已经成为了一种稀有的品质。而角色之间的信任与主角的行动是相辅相成的关系，行动产生...,12,僕だけがいない街,503,7.7,4535,藤沼悟是一个三流漫画家，但是他却拥有着名为“再上映”（可以穿越到事件发生之前的时间点，阻止事件发生，但失败了会一直重复）的能力。某天，当回到家里的时候他发现了自己母亲遇害的一幕，并且自己被嫁祸为杀人凶手。就在这时候，由于再上映的关系，他突然回到了18年前·小学五年级的时候，而这一刻他不但要拯救母亲，也要为了同学的安全而战……
12话/2019年7月7日/赤城博昭/山本崇一朗「からかい上手の高木さん」「あしたは土曜日」（小学館「ゲッサン」刊）/高野綾,擅长捉弄的高木同学 第二季,以前看过的很多部狗粮番都没给过我这种感觉，可能这就是所说的“戳到了心里某个柔软的地方”吧。我在看番的时候，往往会被自己想得到却又得不到的东西吸引住。因为知道自己以后永远也不会遇到像高木同学一样的女孩子，所以才会真心的祝福高木和西片能够一直幸福的...,12,からかい上手の高木さん②,504,7.7,1568,某所初中学校，男生西片总是被邻座的女生高木同学捉弄。他为了对此反击而用尽计策，却总是被高木同学看透。
50话/2016年2月7日,魔法使光之美少女！,爱奇艺上的小友：官方回应：没错她们就是,50,魔法つかいプリキュア!,507,7.8,241,新学期升上初中二年级的朝日奈未来，于寒假某个晚上目击不明物体坠落至附近的公园。抱持那可能是魔法使的期待，她在第二天早上带着自小深爱着的绒毛玩具熊莫夫伦一同探个究竟，结果真的遇上于空中骑着扫帚的女孩，并发现二人竟然戴着同样的吊饰。
12话/2012年7月2日/太田雅彦/なもり（一迅社「コミック百合姫」連載）/中島千明,摇曳百合♪♪,阿卡林，开始了摇曳百合这种不同寻常的日常，女主角不同寻常的萌属性，让人真心觉得另类。而且千岁酱的鼻血，也算是一个萌点吧。而且我觉得这才是真正的百合，轻轻的感觉。算是比较好的日常番，喜欢日常的绝对不能错过，讨厌百合的请绕道。不过看完之后，剧情什么的记不住...,12,ゆるゆり♪♪,508,7.7,3603,由なもり老师创作，故事讲述在七森中学的校园里，无所事事四人帮——女主角赤座灯里、暴走的岁纳京子、吐糟役的船见结衣，以及在人前会伪装成可爱女孩的吉川千夏，擅自把废了部的茶道社部室据为己用，并且自称地建立了娱乐部。擅自使用课室又引来了学生会的介入，于是各种百合妄想也在作品中飞舞著。
127话/2008年10月5日/秋山勝仁/レベルファイブ/池田裕治、井ノ上ユウ子,闪电十一人,虽然我觉得应该是自嗨但还是说明一下以防万一。1.这是针对三代18个代表日本队参加大赛的成员的能力娱乐化排名。2.排名根据且仅根据三代所有比赛决定。（我第一次看是四年前，最近简单重温了部分，疏漏之处在所难免）3.最终解释权归我所有，欢迎讨论，拒绝撕逼和抬杠。...,127,イナズマイレブン,509,7.7,322,雷门中学的足球部是一个仅有7名部员的弱小队伍。社团活动室内聚集了一批拥有各自爱好，度过糜烂每一日的部员。
2话/2009年10月17日/新房昭之/蒼樹うめ/伊藤良明,向阳素描×365 特别篇,改革开放之后，大量资本主义国家的文艺作品流入国内。当然其中大部分都是资产阶级腐朽文化的产物，被我朝英明神武的广电总局毙掉了。剩下一些没有被毙掉的作品，则可以帮助我们了解资本主义国家的弊端和社会主义制度的优越性，增强爱国意识，提高民族凝聚力。日本动画片...,2,ひだまりスケッチ×365 特別編,510,7.7,482,[可以算是为第三季预热把]
26话/2009年7月27日/日丸屋秀和「黑塔利亚AxisPowers」（幻冬舍漫画刊）/河南正昭,黑塔利亚 第2期,话说黑塔遭到了“思密达”式轰击啊，貌似韩国思密达的设定在动画里还没出现，可是明明有人设，难道我漏掉了？漫画里倒是出现了，实在是受不了韩国的反应，明明是公认的思密达祈祷不要被腰斩话说第二季看到现在没有第一季好看。。。。On。。...,26,ヘタリア Axis Powers 第2期,511,7.7,1626,以世界史为主轴，将世界上各式各样国家固有的风俗、风潮、风气、水土等模拟到人物身上，将国家拟人化的历史喜剧。以主角意大利所属的轴心国为中心，在史实中夹杂民族诙谐，描写各国的各种事情。
26话/2002年1月21日/出渕裕/BONES、出渕裕/菅野宏紀,翼神传说,事已至此，我该何去何从？只是为了改变困于笼中的现实。又能有什么作为。人生走过一半，却仿佛从未真正存在过。不论是反抗还是屈从。不知何时被刻上经验的痕迹。当陷入困境与苦难时，才初次体验到自己的生存价值。我要前往那更广阔更深远无法预测的世界。告诉我“坚强...,26,ラーゼフォン,522,7.7,994,"21世纪初，日本的首都东京被外部入侵者Mu（读作""moo""）用半圆形的障壁与外界隔绝，身处障壁外部的人称该障壁为""TokyoJupiter""（因障壁的外观酷似木星），身处内部的人则相信“东京以外的世界已经灭亡”。数年之后，居住在东京的主角神名绫人在赶往模拟考试的试场途中，遇上了电车意外。绫人在寻找救援的途中，遇到了一名神秘少女“美嶋玲香”，并在她的引导之下，到了一座地下神殿。此时，东京上空突然出现了会“唱歌”的神秘“物体”，并与绫人产生了“共鸣”，使他在神殿倒下了。在混乱的意识之中，绫人说了一声“RahXephon”。然后，神殿内的“巨人”觉醒了……"
13话/2010年10月3日/新房昭之/中村光/杉山延寛,荒川爆笑团2,在看《荒》之前，我一直以为自己跟这种番组很无缘，“吐槽”、“电波系”、“欢乐”等这些字眼让我对这个番组望而却步。我跟这个番组的孽缘，完全是开始于一个无聊的暑假，两个已经腐死的宅聚在一起，自然而然就是补番的好时机。虽然我的死党已经放弃了追看第二季，但我...,13,荒川アンダー ザ ブリッジ×ブリッジ,523,7.7,3179,“能和我谈一场恋爱么？”
13话/2006年8月5日/湯浅政明,兽爪,还是从我习惯的几个方面来讲，首先剧本总有人见到这种剧本就内涵内涵的喊。它有什么内涵？引用点基督的概念就叫内涵？把人类描写的比猴子还好煽动就叫内涵？内涵个鸡儿内涵，没有内涵。在兽爪这部动画里也是，这部动画整体的剧情走向氛围价值观和兽爪很像，其实很没意思...,13,ケモノヅメ,525,7.7,578,那个男人爱着的女人，竟然是最恐怖的怪物。她所爱的男人，则是最强的怪物猎人。一边属于敌对的对手，一边又被爱情纽带给相连。这两人之间的爱情将会是怎样的结果呢？
24话/2007年4月7日/ヤマサキオサム（山崎理）/竹宮惠子,奔向地球,先把结论摆在前面吧。奔向地球的世界设定也许缺乏新意，可是从系统的创立依据以及设计思路来讲，在自洽性方面相当完美，也算得上是片子最有魅力的地方之一。人类和缪的对立并不是黑与白的二元对立关系，因此也给剧情留下了广阔的发展空间。所以，我认为这是一个好设定。...,24,地球へ…,526,7.7,313,地球因为长期的破坏而迈入衰亡，人类只得移民至其他星球。为了避免再次犯下环境污染的错误，人类发明特殊统治体制(S.D.)，并以机械电脑“伟大母机”来管理与控制人类的思想。特殊统治体制制定儿童14岁时必须接受“成人检查”，借由检查来洗去儿童的记忆并依儿童资质送往教育局接受重新教育，再进入成人星球。但具备“缪”能力的儿童无法通过成人检查，无法通过检查的缪将处以死刑，于是已逃脱的缪试图寻找可以居住的星球。
1话/2008年5月13日/阿里·福尔曼,和巴什尔跳华尔兹,动画在别国，一样优秀。这种反思，日本永远拍不出来。不过，什么时候，中国也能有这样的动画……（远目~这两部动画电影，值得推荐。和巴什尔跳华尔兹”《和巴什尔跳华尔兹》（希伯来文：ואלסעםבאשיר‎-ValsImBashir;英文：WaltzWithBashir）是2008年一部...,1,ואלס עם באשיר‎,527,7.9,97,1982年，19岁的阿里·福尔曼在以色列国防军服兵役。后在2006年，当他与以前的战友将其如梦靥般在战争经历时，福尔曼惊奇的发现他对当时的一切都无法回忆起来。于是他开始去拜见和采访他以前在部队的战友和老朋友，在与他们的交流之中，福尔曼把以前关于萨布拉-夏蒂拉大屠杀的事情都回忆了起来。
1话/1979年5月19日/严定宪、王树忱、徐景达,哪吒闹海,不知道谁写的：【片长:65min（中国大陆）98min（25周年珍藏版）105min（法国）】。25周年珍藏版是指的34DVD的那一版（DVD09）么？那一整张DVD才不过96分钟啊，98分钟是从哪来的？法国版本105分钟又是从哪来的？我查到法国版本貌似是65分钟的，然而这一版有人看过么？我手上的34DVD的版...,1,哪吒闹海,528,7.7,817,商末时期，陈塘关总兵李靖的夫人怀胎3年6个月，最终生下一个肉球，肉球中跳出一个伶俐可爱的男孩。李靖原当他是妖孽欲杀之而后快，幸太乙真人前来收之为徒，赐名哪吒，并赐以乾坤圈和混天绫两件宝贝。某年，天下大旱，甘露未降。哪吒和家将到东海洗澡玩耍。他用混天绫搅动海水，撼动龙宫，惹出巡海夜叉李艮和龙王三太子敖丙。几番言语不和，哪吒杀此二人，由此闯下通天大祸。四海龙王齐聚陈塘关索命，为救一方百姓，哪吒决定交出生命……
11话/2009年4月9日/神山健治/神山健治/森川聡子,东之伊甸,刀剑神域剧场版序列之争评分：6.5吐槽：在之前对刀剑系列的评价里说过只喜欢第一季前半SAO的部分，后半和第二季十分不喜。想来官方也知道能抓人气和收入的也就是这部分了，所以不仅是这部剧场版，连同彩蛋都是和SAO有关的。如果剧场版是跟在第一季前半后上映，那当一...,11,東のエデン,534,7.7,3832,2010年11月22日（星期一）
1话/2008年8月2日/押井守/森博嗣/西尾鉄也,空中杀手,对不用哲理和说教类台词怼脸就无法发现作品精彩之处的观众而言，审美能力不足是无可奈何的事情——那么，给这个看不懂的东西打个心中的分数，也是无可厚非的事情，难道要用舆论绑架不成吗？（笑）...,1,スカイ・クロラ The Sky Crawlers,535,7.7,1397,这是一个没有战争的和平世界，然而人类为了切实地体验和平的感觉，竟发明出了用于观赏的表演性战争。在这假戏真做的枪林弹雨中，依然有残酷的伤亡。驾驶战斗机搏击长空的是特殊战士“基尔多雷”。他们的肉体驻留于青春期状态，不老不死，而并未停止成长的内心却有着比普通成年人更深的疲惫，战死沙场是他们唯一的出路。背负着无奈命运的少年们在天地之间谱写出爱与生与死的轮回……
1话/2013年3月2日/吉成曜/吉成曜,小魔女学园,于是做了一个纪录片字幕，结果更寂寞了…………(bgm38)《魔法诞生之时》小魔女学园制作日志-嗶哩嗶哩-(゜-゜)つロ乾杯~-bilibili.tvhttp://www.bilibili.tv/video/av931177/,1,リトルウィッチアカデミア,545,7.7,2100,文化庁若手アニメーター育成プロジェクト『アニメミライ2013』
4话/2012年12月31日/板村智幸/西尾維新/渡辺明夫,猫物语（黑）,a：上次说了陪伴系女主的剧情冲突的两大要素中的陪伴。这次从特殊关系入手吧。你先介绍一下。b：嗯。历和羽川的感情，从翼猫展开，到伤物语里的回忆，最后通过猫物语完结。实际贯穿了物语第一季呢。a：是的，这样的设计并不罕见。以角色表现直接观赏作品的观众来看，主女主...,4,猫物語(黒),550,7.7,4257,美しき吸血鬼に出逢った春休みの後、
1话/2015年7月3日,小魔女学园 魔法游行,这部作品就是看个作画的，大家都懂。之前看了个Anitama的关于吉成曜和小魔女学园的纪录片[http://www.anitama.cn/article/7ad8c8b3a640aee7]小魔女学园企划当时一开始的短片是trigger参加日本人动画未来项目的作品，很多trigger的新人画师加入并在这之中锻炼能...,1,リトルウィッチアカデミア 魔法仕掛けのパレード,551,7.6,1792,「ルーナノーヴァ」は魔女をめざす少女たちが集まる伝統ある魔法学校。主人公のアッコはいまだホウキにも乗れず友達のロッテ、スーシィと共にあいかわらずな騒動の毎日を送っていた。
1话/2017年9月27日/渡辺信一郎/村瀬修功,银翼杀手：2022大断电,作为贫乏的一年，tv动画没多少可圈可点之处，以下为个人感觉良好的tv动画：小魔女学园[http://bgm.tv/subject/185792]我就是喜欢trigger的套路少女终末旅行[http://bgm.tv/subject/218707]原作者亲自画的ed，想想他也是真闲PrincessPrincipal[http://bgm.tv/...,1,ブレードランナー ブラックアウト 2022,556,7.7,837,该片的背景设定在2022年5月的洛杉矶（为《银翼杀手》（1982年）的三年后），泰瑞公司（TyrellCorporation）决定生产寿命更长的克隆人“连锁八型”（NEXUS-8），此举引发了世界各地的抗议行动，人们开始猎杀克隆人。逃离宇宙战场的步兵克隆人伊基（Iggy）救下一名遭到欺凌的应召女郎克隆人崔西（Trixie），并让她加入他的行动——炸毁泰瑞公司克隆人数据库，让人类无法继续追杀克隆人。
13话/2012年7月7日,境界线上的地平线 第二季,本记事本所记载的视频时间为异域字幕组版本。◆第一期：◇第一集：圣谱历一四五七年，吉野山。［九秒至卅一秒］圣谱历一六四八年四月二十日上午七时五十八分，奥多摩·墓前：P-01s在唱歌。［卅二秒至一分卌三秒］上午八时四十分，阿利亚达斯特教导院：三年梅班上体育课。［三分卌...,13,境界線上のホライゾンII,558,7.6,2183,剧情紧接前作展开，航空都市舰武藏在救出赫莱森·阿利亚达斯特之后，离开三河启航前往英国，希望能获得英国的支援。但由于无敌舰队海战历史再现开战在即，三征西班牙害怕英国与武藏联手，决定先声夺人攻击武藏。
13话/2011年10月1日/大槻敦史/高津カリノ/足立慎吾,迷糊餐厅 第二季,觉得yamada给人说不出来的好感，仔细想想是因为很好的体现了犬的性格，广桥也抓住了这一点配着有点哈着嘴的声音。。。,13,WORKING'!!,567,7.6,3692,wagnaria，2011年10月，再开业！
12话/2018年7月8日/岸誠二/涼川りん（白泉社「ヤングアニマル」連載）/黒澤桂子,来玩游戏吧,观看之前，以为是一个搞笑向通过玩游戏追忆校园生活的故事，类似高木同学或者粗点心战争这种，结果发现完全不是好么，自从菊花激光出现以后，我整个人都是懵逼的。其实每个小段落都是有人卖傻有人吐槽，整体看下来还是挺开心的，很无厘头，看着爆炸颜艺有点看暴走漫画表情包...,12,あそびあそばせ,570,7.6,2266,生在日本长在日本、完全不会说英语的金发美少女·奥莉薇，性格认真、知性洋溢、完全不会说英语的短发眼镜娘·香纯，以及虽然性格开朗却无法成为现充的下双马尾少女·华子，三名初中女生创造出来的是“游戏研究会”！？超级可爱有趣、令人捧腹绝倒的JC女生喜剧现在开幕！
1话/2016年10月18日/赤井俊文/PorterRobinson,避难所,六分钟的动画短片，悲伤，但温情暖暖；末日，但不失希望。以管中窥豹形式展现宏大的世界观，辅以细腻而真切的感情描写，情节突变，但又似乎是娓娓道来了一个末日下的温情故事。以小女孩的第一人称视角，从虽难以置信但又充满新奇与欢乐的每一个日常讲起，早晨起来，睁开朦胧的睡眼...,1,SHELTER,572,7.6,1470,活在未来模拟器中的17岁孤独少女・凛，每天都在时光无限的美丽虚拟世界中醒来，每天都用手上的平板设计只属于自己的新世界。
4话/2010年1月27日/岡村天斎/BONES・岡村天斎,DARKER THAN BLACK -黑之契约者- 外传,比黑更暗沉的东西是什么？是契约者的命运。“毕竟人类从一开始就束手无策。”在人类和契约者之间，你要怎样选择？黑，银，苏方，哈勃克，November。。。。即便是预知了未来的琥珀，也无法改变命运的轨迹。BGM大赞！[http://www.tudou.com/programs/view/8LZ_2qDKaO8/?r...,4,DARKER THAN BLACK -黒の契約者- 外伝,573,7.6,2542,「黒の契約者」と「流星の双子」の空白の2年を繋ぐ全4話の新作OVA「DARKERTHANBLACK黒の契約者外伝」
51话/2015年4月6日,钻石王牌 第二季,没打算长评，但是字数超了又不吐不快看过最烂的棒球动画，作者就是纱布纱布纱布我不需要你给我科普棒球知识，能把故事讲好么？实际上这部有这么烂么？（6.5星的水准还是有的但是，看起来非常不爽所以一星并非主角实力强弱问题，而是有个地方实在没办法忍主角开始就被定...,51,ダイヤのA -SECOND SEASON-,575,7.7,355,TVアニメ「ダイヤのA」が4月6日（月）夕方6時から
1话/2005年8月20日/水島努/黄瀬和哉,×××HOLiC 仲夏夜之梦,一楼防屏蔽(bgm39),1,劇場版×××HOLiC 真夏ノ夜ノ夢,578,7.6,1068,本片是从侑子收到来路不明的信开始讲起，那是一封召开拍卖会的邀请函。
26话/2006年4月3日/西村純二/小山田風狂子（會川昇）／篠吉祥、美原轟/西田亜沙子,西蒙,我对完备的看法就是，设定很有必要，但同时也很克制，并不多余。西蒙讲述的是一个在战争背景之下少女成长的故事，所以需要未成年人驾驶机器的设定，而且还需要成年人驾驶不了。一般的动画这个设定会很生硬，而西蒙巧妙的将其设定为宗教仪式用具，这样一来，设定本身就变得非...,26,シムーン,582,7.7,340,经过长达两年的构想，由StudioDEEN制作的原创百合动画《Simoun》将在2006年4月3日开始放送，动画的发布会《Simoun》的发表在2月15日召开。
2话/2015年3月6日/畠山守（小俣真一）/雲田はるこ（講談社「ITAN」連載）/細居美恵子,昭和元禄落语心中 OAD,"小时候受到家庭的影响颇重,从记事开始起就总是几乎全天,上学的时候只要在家,就开着收音机,听着单田芳,刘兰芳,袁阔成几位栩栩如生的评书段子,武侠,名著,历史等等几乎无所不听,又或者欣赏着侯,马等老一辈的相声,单口对口群口,听得不亦乐乎.然后...",2,昭和元禄落語心中 与太郎放浪編,593,7.7,492,刑務所を満期出所した元チンピラの与太郎は、1年前に慰問で訪れた落語家の八代目有楽亭八雲演じる「死神」を聞いて感動し、出所後そのまま八雲が出演している寄席に押しかけて弟子入りを申し出る。内弟子をこれまで取っていなかった八雲だが、彼なりの考えで与太郎に付き人として行動を共にすることを許され、家では八雲の義理の娘・小夏と出会う。
24话/2019年10月22日/末次由紀（講談社「BE・LOVE」連載）,歌牌情缘3,不要玩平衡木啦。小奏（爱衣）是真的（大）天使啊,24,ちはやふる3,596,7.7,579,クイーンになる夢も、将来の夢も諦めたくない！
